Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Assemble: AllArousalRF8,0.6741232227481976,0.6322971948356039,0.6901117087316945,0.6599406528149548,0.0693643820552767,0.16605294583566366,0.07069561797033912,0.11005963871066864
Assemble: AllArousalRF12,0.6784834123292484,0.6141015921175667,0.7049608355183414,0.6564019448999707,0.08168353035594975,0.17039083474232183,0.07611700322429173,0.1265430198349529
Assemble: AllValenceBLR4,0.6096682464580278,0.6338134950820083,0.6047016274980449,0.6189154173715653,0.06758183357211284,0.15402511683657136,0.16432533315327957,0.13947892237923576
Assemble: AllValenceBLR8,0.6104265402722472,0.6087945413063259,0.6108786610749748,0.6098348205681026,0.0855587683979003,0.20275787263709433,0.18369057362178004,0.1770715481345141
Assemble: AllValenceBLR12,0.6018957345918194,0.5682335102329573,0.609349593497333,0.5880737544130383,0.09524463887301247,0.21606102673945,0.18687394749236158,0.18403641393294812
Assemble: AllValenceRF4,0.5829383886153231,0.621683093247239,0.5770584095596267,0.59854014597701,0.11004338465618792,0.20022526900576348,0.13009289399968574,0.11955722254352612
Assemble: AllValenceRF8,0.5893838862564644,0.49317664897670427,0.6107981220759042,0.5457214765142556,0.09206439937610025,0.22933870453279617,0.12314461541456652,0.20962566063853094
Assemble: AllValenceRF12,0.5871090047385538,0.4499620924998103,0.6201671891282106,0.5215289982446331,0.08642809160193402,0.17843570381498905,0.15462266190423118,0.1754159019798578
Co-Training: AudioArousalBLR4,0.5755450236920864,0.28392721758257744,0.6815286624083853,0.40085630183784243,0.0800935055959395,0.25113466208271973,0.10827439266733299,0.24287154396788782
Co-Training: AudioArousalBLR8,0.6214218009452538,0.47043214557039587,0.674090168377532,0.5541415494537565,0.06703538522527595,0.1936467100411876,0.06781734249309161,0.14686884168378903
Co-Training: AudioArousalBLR12,0.6324170616011988,0.4958301743650334,0.6823161189201877,0.574313940712567,0.0475561421077441,0.20519225527564647,0.0784500218237554,0.13533289710763743
Co-Training: AudioArousalRF4,0.6028436018911901,0.42987111448229665,0.6573913043363933,0.5198258079279403,0.0498522017992312,0.17476816275754195,0.07769543926657595,0.13261291599310773
Co-Training: AudioArousalRF8,0.6132701421907361,0.4397270659645175,0.6736353077991922,0.5321100917525882,0.07000103712205959,0.19158555133694677,0.07074184445063064,0.16152471156759232
Co-Training: AudioArousalRF12,0.6316587677699178,0.5761940864350878,0.648187633255468,0.6100742524586991,0.034875174386233984,0.13819047012355637,0.08098514864922292,0.06720803432103634
Co-Training: AudioArousalNN4,0.5967772511897569,0.35140257771171873,0.69024571855086,0.465712132633502,0.06311841316899258,0.184942594900637,0.07534885251936829,0.16503287050300858
Co-Training: AudioArousalNN8,0.63696682464007,0.4636087945468673,0.709808473577777,0.5608805319875176,0.06896404334692847,0.17220650136433485,0.05088236954873152,0.1531690157031587
Co-Training: AudioArousalNN12,0.6494786729927005,0.5587566338231946,0.6827234831001263,0.6145507609005628,0.06289648940728348,0.13357445823090958,0.059294109381616535,0.0981240584152818
Co-Training: AudioValenceBLR4,0.5400947867384648,0.313115996976168,0.573611111125,0.40510053949093944,0.07375643360195462,0.1650522475131468,0.13920629866209516,0.18156765213697376
Co-Training: AudioValenceBLR8,0.5480568720351622,0.4397270659645175,0.561471442394744,0.49319727891267096,0.05426017354604973,0.231991525612801,0.18435998321376068,0.20987731644999233
Co-Training: AudioValenceBLR12,0.5546919431271179,0.48749052312921715,0.5632939115169081,0.5226579963441469,0.03847706271457078,0.2557356197552625,0.16401624689422376,0.21209206476482886
Co-Training: AudioValenceRF4,0.513744075828462,0.3169067475410042,0.5228267667256506,0.39461883408357507,0.06402610138214354,0.14499804501331648,0.13352053500996094,0.13314195930030465
Co-Training: AudioValenceRF8,0.539336492890122,0.3987869598233464,0.5548523206716005,0.4640494045017024,0.04118157267559458,0.169930971213217,0.15945160168695025,0.14360309483597564
